Season,House_Type,Electricity_Provider,Income_Level,City_Area,Family_Members,AC_Usage_Hours,Heater_Usage_Hours,WashingMachine_Use,Fridge_Count,Other_Appliances,Avg_Daily_Usage,Units_Consumed,Monthly_Bill
Rainy,,Private,High,SemiUrban,3.0,5.6,1.8,0.0,2.0,5.0,11.3,236.0,1596.0
,Apartment,Society,High,SemiUrban,7.0,5.8,3.6,5.0,2.0,5.0,9.9,332.0,2250.0
Summer,Apartment,Generator Backup,Medium,SemiUrban,6.0,4.5,2.6,4.0,2.0,2.0,3.7,200.0,1479.0
,Kothi,Society,High,Urban,3.0,7.6,1.0,2.0,2.0,6.0,7.0,225.0,1622.0
Rainy,Apartment,,Medium,SemiUrban,3.0,4.0,,2.0,2.0,1.0,3.9,160.0,1217.0
Spring,Rented Room,Generator Backup,High,Urban,,3.0,3.3,4.0,1.0,,3.1,163.0,1160.0
Summer,PG,PSPCL,Medium,Rural,5.0,1.3,5.4,4.0,2.0,1.0,8.5,201.0,1500.0
Summer,PG,Private,Low,Urban,7.0,6.3,,1.0,2.0,2.0,11.6,278.0,
Rainy,Apartment,Society,Medium,Rural,6.0,,4.4,4.0,1.0,2.0,11.1,972.0,4580.0
Winter,Kothi,PSPCL,Medium,Urban,5.0,3.1,4.0,3.0,2.0,1.0,9.3,259.0,1778.0
Rainy,Kothi,Society,High,Rural,7.0,0.2,,4.0,1.0,4.0,,156.0,1105.0
Rainy,Rented Room,,Medium,SemiUrban,7.0,6.7,4.9,3.0,2.0,1.0,5.5,270.0,1939.0
Rainy,Apartment,Private,Low,Rural,2.0,0.1,3.4,4.0,1.0,5.0,5.9,124.0,870.0
Rainy,PG,Society,Low,SemiUrban,6.0,5.6,3.9,1.0,1.0,3.0,9.9,299.0,2052.0
Spring,Kothi,Society,High,SemiUrban,5.0,7.8,5.4,3.0,2.0,6.0,10.2,377.0,2540.0
Summer,Apartment,Generator Backup,Low,Rural,6.0,3.5,2.4,0.0,2.0,5.0,6.5,217.0,1572.0
Spring,Kothi,Society,Medium,Urban,3.0,1.9,2.0,3.0,2.0,3.0,6.8,188.0,1348.0
Spring,Kothi,Society,Low,Urban,3.0,5.6,0.1,1.0,2.0,6.0,3.4,166.0,1233.0
Spring,PG,Generator Backup,High,Urban,6.0,6.5,5.0,5.0,1.0,6.0,,243.0,1736.0
Rainy,Independent,PSPCL,Medium,Urban,2.0,4.4,4.8,3.0,1.0,6.0,7.1,237.0,1712.0
Winter,Rented Room,Generator Backup,High,Urban,2.0,7.7,0.6,4.0,1.0,2.0,4.1,203.0,1448.0
Summer,Rented Room,PSPCL,Medium,SemiUrban,6.0,0.4,3.5,,2.0,6.0,,206.0,1513.0
Winter,PG,Private,Low,Urban,5.0,4.0,2.8,5.0,1.0,4.0,10.7,231.0,1684.0
Spring,Kothi,PSPCL,High,SemiUrban,4.0,5.7,0.7,1.0,2.0,1.0,8.2,223.0,1530.0
Spring,Apartment,PSPCL,High,,2.0,6.9,5.9,2.0,2.0,4.0,3.7,229.0,1646.0
Winter,Kothi,,Medium,SemiUrban,1.0,1.4,1.3,4.0,1.0,1.0,4.7,,1138.0
Winter,PG,PSPCL,High,Rural,3.0,6.4,0.4,0.0,2.0,5.0,7.3,234.0,1716.0
Winter,Rented Room,Generator Backup,Medium,Rural,,4.4,3.6,1.0,1.0,5.0,6.3,197.0,1398.0
Spring,Kothi,PSPCL,Medium,SemiUrban,1.0,3.2,4.4,3.0,2.0,1.0,6.2,178.0,1333.0
Spring,Rented Room,Private,Medium,Rural,6.0,1.1,0.2,3.0,1.0,4.0,7.8,171.0,1296.0
Summer,Apartment,Generator Backup,Medium,Urban,7.0,6.9,4.0,0.0,2.0,1.0,8.3,313.0,2198.0
Summer,Rented Room,Private,Low,Urban,3.0,1.3,3.2,4.0,,6.0,10.2,222.0,
Spring,Rented Room,Private,Medium,SemiUrban,3.0,,0.6,1.0,1.0,2.0,6.1,114.0,854.0
Winter,Independent,Society,High,Urban,2.0,2.3,1.0,0.0,2.0,,10.2,165.0,
Winter,Independent,Society,,SemiUrban,2.0,7.0,3.4,4.0,,2.0,6.0,257.0,1760.0
,Independent,Private,High,SemiUrban,1.0,5.4,1.8,1.0,1.0,6.0,3.5,159.0,1122.0
Spring,Rented Room,Private,Low,Urban,7.0,6.4,5.6,3.0,2.0,6.0,8.0,293.0,
Summer,PG,Private,Medium,Rural,,2.0,4.9,1.0,2.0,5.0,8.3,204.0,1520.0
Summer,Rented Room,Society,Low,Urban,7.0,5.0,5.9,5.0,2.0,5.0,11.4,326.0,2278.0
Rainy,PG,Society,Low,Urban,3.0,4.6,1.6,2.0,1.0,6.0,9.5,253.0,1808.0
Rainy,PG,PSPCL,High,SemiUrban,,6.7,5.8,1.0,1.0,3.0,11.3,,2046.0
Rainy,Independent,PSPCL,High,SemiUrban,4.0,7.2,2.6,2.0,2.0,,11.2,295.0,2116.0
Winter,Kothi,Private,Medium,SemiUrban,1.0,0.1,2.1,1.0,2.0,2.0,8.4,,872.0
Spring,Apartment,Generator Backup,Low,SemiUrban,5.0,5.4,0.3,2.0,1.0,3.0,7.7,185.0,1386.0
Spring,Independent,Generator Backup,Low,Rural,1.0,0.4,0.3,5.0,2.0,,8.0,133.0,940.0
Spring,,Society,Low,Rural,7.0,,4.2,3.0,1.0,2.0,11.8,333.0,2352.0
Spring,Kothi,Society,Medium,Rural,5.0,2.3,2.7,4.0,2.0,1.0,10.0,214.0,1457.0
Rainy,Apartment,Society,Medium,SemiUrban,5.0,2.5,1.4,2.0,2.0,6.0,4.0,121.0,928.0
,Rented Room,Private,Medium,SemiUrban,5.0,2.8,3.7,5.0,2.0,6.0,10.0,237.0,1620.0
Winter,Rented Room,Generator Backup,Medium,SemiUrban,4.0,5.0,1.5,2.0,1.0,3.0,4.5,178.0,1350.0
Rainy,Independent,PSPCL,Medium,Rural,1.0,2.7,3.5,3.0,1.0,2.0,7.0,226.0,1625.0
Winter,Apartment,Private,High,SemiUrban,7.0,5.9,2.2,2.0,1.0,4.0,4.9,,1612.0
Rainy,Independent,PSPCL,Low,Urban,1.0,3.2,4.9,5.0,1.0,2.0,9.2,254.0,1811.0
Spring,PG,,Low,Urban,4.0,0.5,4.9,5.0,2.0,6.0,10.9,231.0,1652.0
Rainy,Independent,,Low,SemiUrban,3.0,6.3,2.9,0.0,2.0,5.0,5.6,204.0,1487.0
Spring,Independent,PSPCL,Low,Urban,2.0,2.3,2.1,3.0,1.0,1.0,3.7,158.0,1138.0
Spring,Rented Room,Generator Backup,Low,Urban,,3.5,2.2,0.0,2.0,,5.7,181.0,1338.0
Summer,Rented Room,,Low,Rural,7.0,5.5,4.8,3.0,2.0,,9.1,341.0,2382.0
Rainy,Rented Room,Generator Backup,Low,SemiUrban,1.0,2.7,2.0,2.0,1.0,4.0,6.0,179.0,1248.0
Summer,PG,Generator Backup,Low,SemiUrban,2.0,0.5,1.3,5.0,2.0,5.0,,,954.0
Rainy,Rented Room,Generator Backup,High,Rural,6.0,3.0,0.5,0.0,2.0,5.0,,134.0,1023.0
